2020-04-26 19:53:53.967 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:54:27.267 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:54:27.274 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195427269 Account for Vortex Rentals succesfully 7bd95f.eml"
2020-04-26 19:54:27.275 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:56:23.149 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:56:23.156 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195623151 Account for Vortex Rentals succesfully 97b3f8.eml"
2020-04-26 19:56:23.157 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:58:20.039 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:58:20.046 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195820041 You have Succesfully Created a Ticket 5d77e2.eml"
2020-04-26 19:58:20.047 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:58:52.381 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:58:52.387 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195852383 Your Ticket has been closed fa39cd.eml"
2020-04-26 19:58:52.388 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 19:59:03.923 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 19:59:03.930 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426195903925 You have Succesfully Created a Ticket 72fecb.eml"
2020-04-26 19:59:03.930 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 20:00:34.654 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 20:00:34.661 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426200034656 Your order has been refunded f5a19f.eml"
2020-04-26 20:00:34.661 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 20:03:31.052 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 20:03:31.060 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426200331054 Account for Vortex Rentals succesfully 16e6e3.eml"
2020-04-26 20:03:31.060 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 20:03:49.500 +01:00 [Information] New SMTP connection from "0.0.0.0"
